"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Computational Resource Allocation in Fog Computing: A Comprehensive Survey.","2023","ACM Computing Surveys","ACM Comput. Surv.","João Bachiega Jr.;Breno G. S. Costa;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","0360-0300","A1"
"Monitoring fog computing: A review, taxonomy and open challenges.","2022","Computer Networks","Comput. Networks","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","1389-1286","A1"
"Monitoring Fog Computing: a Review, Taxonomy and Open Challenges.","2022","Computing Research Repository (CoRR)","CoRR","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","N/A","N/A"
"Computational resource and cost prediction service for scientific workflows in federated clouds.","2021","Future Generation Computer Systems","Future Gener. Comput. Syst.","Michel J. F. Rosa;Célia Ghedini Ralha;Maristela Holanda;Aletéia P. F. Araújo","0167-739X","A1"
"The Brazilian School Girls' Perspectives on a Computer Science Major.","2020","CLEI electronic journal","CLEI Electron. J.","Maristela Holanda;Roberto Nunes Mourão;Guilherme Novaes Ramos;Aletéia P. F. Araújo;Maria Emília M. T. Walter;Vinicius Borges;George von Borries","0717-5000","B2"
"Managing data provenance for bioinformatics workflows using AProvBio.","2019","International Journal of Computational Biology and Drug Design (IJCBDD)","Int. J. Comput. Biol. Drug Des.","Rodrigo F. Almeida;Waldeyr Mendes Cordeiro da Silva;Klayton Castro;Aletéia Patrícia Favacho de Araújo;Maria Emília Telles Walter;Sérgio Lifschitz;Maristela Holanda","1756-0764","B2"
"BioNimbuZ: a federated cloud platform for bioinformatics applications.","2017","International Journal of Data Mining and Bioinformatics (IJDMB)","Int. J. Data Min. Bioinform.","Aletéia Patrícia Favacho de Araújo;Michel J. F. Rosa;Breno Moura;Guilherme Vergara;Maristela Holanda;Maria Emília Telles Walter","1748-5673","A3"
"WIT comes of Age: The Successful Story of the Women in Information Technology Workshop.","2025","Journal of the Brazilian Computer Society","J. Braz. Comput. Soc.","Luciana C. de C. Salgado;Mirella M. Moro;Aleteia Araujo;Renata V. De Figueiredo;Claudia Cappelli;Fabíola G. Nakamura;Thalia S. Santana","1678-4804","A2"
"Main FaaS Providers Behavior Under High Concurrency: An Evaluation with Orama Framework Distributed Architecture.","2024","SN Computer Science","SN Comput. Sci.","Leonardo Rebouças de Carvalho;Bruno Kamienski;Aletéia P. F. Araújo","2661-8907","B2"
"Achieving Observability on Fog Computing with the use of open-source tools.","2024","Computing Research Repository (CoRR)","CoRR","Breno G. S. Costa;Abhik Banerjee;Prem Prakash Jayaraman;Leonardo R. Carvalho;João Bachiega Jr.;Aleteia Araujo","N/A","N/A"
"Observability in Fog Computing.","2024","Computing Research Repository (CoRR)","CoRR","Aleteia Araujo;Breno G. S. Costa;João Bachiega Jr.;Leonardo R. Carvalho;Rajkumar Buyya","N/A","N/A"
"FaaS-Oriented Node.js Applications in an RPC Approach Using the Node2FaaS Framework.","2023","IEEE Access","IEEE Access","Leonardo Rebouças de Carvalho;Aletéia Patrícia Favacho de Araújo","2169-3536","A3"
"AFMC: An alignment framework for multiple computing services and providers.","2023","Concurrency and Computation: Practice and Experience","Concurr. Comput. Pract. Exp.","Leonardo Rebouças de Carvalho;Alba Cristina Magalhaes Alves de Melo;Aletéia P. F. Araújo","1096-9128","A3"
"Orchestration in Fog Computing: A Comprehensive Survey.","2023","ACM Computing Surveys","ACM Comput. Surv.","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Aletéia P. F. Araújo","0360-0300","A1"
"Insights into the Performance of Function-as-a-Service Oriented Environments Using the Orama Framework.","2023","SN Computer Science","SN Comput. Sci.","Leonardo Rebouças de Carvalho;Aletéia P. F. Araújo","2661-8907","B2"
"Computational Perspective of the Fog Node.","2022","Computing Research Repository (CoRR)","CoRR","João Bachiega Jr.;Breno G. S. Costa;Aletéia P. F. Araújo","N/A","N/A"
"A proposal to minimize the cost of processing big geospatial data in public cloud providers.","2021","Transactions in GIS","Trans. GIS","João Bachiega Jr.;Maristela Holanda;Aletéia P. F. Araújo","1361-1682","A2"
"Multiagent system for dynamic resource provisioning in cloud computing platforms.","2019","Future Generation Computer Systems","Future Gener. Comput. Syst.","Célia Ghedini Ralha;Aldo H. D. Mendes;Luiz A. Laranjeira;Aletéia P. F. Araújo;Alba C. M. A. Melo","0167-739X","A1"
"HCEm model and a comparative workload analysis of Hadoop cluster.","2017","International Journal of Big Data Intelligence (IJBDI)","Int. J. Big Data Intell.","Jose Benedito de Souza Brito;Aletéia Patrícia Favacho de Araújo","1448-5869","B3"
"Hiding color watermarks in halftone images using maximum-similarity binary patterns.","2016","Signal Processing: Image Communication","Signal Process. Image Commun.","Pedro Garcia Freitas;Mylène C. Q. Farias;Aletéia P. F. Araújo","0923-5965","A2"
"Enhancing inverse halftoning via coupled dictionary training.","2016","Signal Processing: Image Communication","Signal Process. Image Commun.","Pedro Garcia Freitas;Mylène C. Q. Farias;Aletéia P. F. Araújo","0923-5965","A2"
"Multicolour paths in graphs: NP-hardness, algorithms, and applications on routing in WDM networks.","2017","Journal of Combinatorial Optimization","J. Comb. Optim.","Rafael F. Santos;Alessandro Andrioni;André C. Drummond;Eduardo C. Xavier","1382-6905","A2"
"Minimizing unavailability in Elastic Optical Networks: Pre-provisioning and provisioning protection strategy using DLP and DPP.","2025","Computer Networks","Comput. Networks","Paulo José S. Júnior;Lucas Rodrigues Costa;André C. Drummond;Marcelo Antonio Marotta","1389-1286","A1"
"Maximizing Throughput with Routing Interference Avoidance in RIS-Assisted Relay Mesh Networks.","2024","Computing Research Repository (CoRR)","CoRR","Cao Vien Phung;André C. Drummond;Admela Jukan","N/A","N/A"
"Enhancing Path Selections with Interference Graphs in Multihop Relay Wireless Networks.","2024","Computing Research Repository (CoRR)","CoRR","Cao Vien Phung;André C. Drummond;Admela Jukan","N/A","N/A"
"An Optimization Driven Link SINR Assurance in RIS-assisted Indoor Networks.","2024","Computing Research Repository (CoRR)","CoRR","Cao Vien Phung;Max Franke;Ehsan Tohidi;June Heinemann;André C. Drummond;Stefan Schmid 0001;Slawomir Stanczak;Admela Jukan","N/A","N/A"
"Semantic Communication for Edge Intelligence: Theoretical Foundations and Implications on Protocols.","2023","IEEE Internet of Things Magazine","IEEE Internet Things Mag.","Zoran Utkovski;Andrea Munari;Giuseppe Caire;Johannes Dommel;Pin-Hsun Lin;Max Franke;André C. Drummond;Slawomir Stanczak","2576-3199","B1"
"Metropolitan optical networks: A survey on single-layer architectures.","2023","Optical Switching and Networking","Opt. Switch. Netw.","Léia Sousa de Sousa;André C. Drummond","1573-4277","A3"
"Metropolitan Optical Networks: A Survey on New Architectures and Future Trends.","2022","Computing Research Repository (CoRR)","CoRR","Léia Sousa de Sousa;André Costa Drummond","N/A","N/A"
"On the Efficiency and Quality of Protection of Preprovisioning in Elastic Optical Networks.","2022","Computing Research Repository (CoRR)","CoRR","Paulo José S. Júnior;Lucas Rodrigues Costa;André C. Drummond","N/A","N/A"
"Parallel Downlink Data Distribution in Indoor Multi-hop THz Networks.","2022","Computing Research Repository (CoRR)","CoRR","Cao Vien Phung;André C. Drummond;Admela Jukan","N/A","N/A"
"Energy Efficiency in Sliceable-Transponder Enabled Elastic Optical Networks.","2021","IEEE Transactions on Green Communications and Networking","IEEE Trans. Green Commun. Netw.","Lucas Rodrigues Costa;Ítalo Barbosa Brasileiro;André C. Drummond","2473-2400","A3"
"A survey on challenges of Spatial Division Multiplexing enabled elastic optical networks.","2020","Optical Switching and Networking","Opt. Switch. Netw.","Ítalo Brasileiro;Lucas Rodrigues Costa;André C. Drummond","1573-4277","A3"
"Embedding Jamming Attacks into Physical Layer Models in Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Mounir Bensalem;Ítalo Brasileiro;André C. Drummond;Admela Jukan","N/A","N/A"
"Dynamic Multi-Modulation Allocation Scheme for Elastic Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Lucas Rodrigues Costa;André C. Drummond","N/A","N/A"
"Jamming-Aware Control Plane in Elastic Optical Networks.","2020","Computing Research Repository (CoRR)","CoRR","Ítalo Brasileiro;Mounir Bensalem;André C. Drummond;Admela Jukan","N/A","N/A"
"A survey on Crosstalk and Routing, Modulation Selection, Core and Spectrum Allocation in Elastic Optical Networks.","2019","Computing Research Repository (CoRR)","CoRR","Ítalo Brasileiro;Lucas Rodrigues Costa;André C. Drummond","N/A","N/A"
"A Survey of Random Forest Based Methods for Intrusion Detection Systems.","2018","ACM Computing Surveys","ACM Comput. Surv.","Paulo Angelo Alves Resende;André Costa Drummond","0360-0300","A1"
"High-performance IP lookup using Intel Xeon Phi: a Bloom filters based approach.","2018","Journal of Internet Services and Applications","J. Internet Serv. Appl.","Alexandre Lucchesi;André C. Drummond;George Teodoro","1867-4828","A2"
"Adaptive anomaly-based intrusion detection system using genetic algorithm and profiling.","2018","Security and Privacy","Secur. Priv.","Paulo Angelo Alves Resende;André Costa Drummond","2475-6725","B2"
"HTTP and contact-based features for Botnet detection.","2018","Security and Privacy","Secur. Priv.","Paulo Angelo Alves Resende;André Costa Drummond","2475-6725","B2"
"New Distance-Adaptive Modulation Scheme for Elastic Optical Networks.","2017","IEEE Communications Letters","IEEE Commun. Lett.","Lucas Rodrigues Costa;André C. Drummond","1558-2558","A1"
"Leveraging adaptive modulation with multi-hop routing in elastic optical networks.","2016","Computer Networks","Comput. Networks","Lucas Rodrigues Costa;Guilherme Novaes Ramos;André C. Drummond","1389-1286","A1"
"Schemes for inter-domain lightpath establishment based on PCE architecture.","2016","Optical Switching and Networking","Opt. Switch. Netw.","Alisson S. L. Pontes;Nelson L. S. da Fonseca;André C. Drummond","1573-4277","A3"
"Holding-time-aware dynamic traffic grooming algorithms based on multipath routing for WDM optical networks.","2015","Optical Switching and Networking","Opt. Switch. Netw.","Juliana de Santi;André C. Drummond;Nelson L. S. da Fonseca;Xiaomin Chen","1573-4277","A3"
"Learning-Based Image Compression With Parameter-Adaptive Rate-Constrained Loss.","2024","IEEE Signal Processing Letters","IEEE Signal Process. Lett.","Nilson Donizete Guerin Júnior;Renam Castro da Silva;Bruno Macchiavello","1070-9908","A1"
"Rate-constrained learning-based image compression.","2022","Signal Processing: Image Communication","Signal Process. Image Commun.","Nilson Donizete Guerin Júnior;Renam Castro da Silva;Matheus C. de Oliveira;Henrique Costa Jung;Luiz Gustavo R. Martins;Eduardo Peixoto;Bruno Macchiavello;Edson M. Hung;Vanessa Testoni;Pedro Garcia Freitas","0923-5965","A2"
"Improved two-dimensional dynamic S-EMG Signal compression with robust automatic segmentation.","2021","Biomedical Signal Processing and Control","Biomed. Signal Process. Control.","Francisco Assis de Oliveira Nascimento;Marcel H. Trabuco;Bruno Macchiavello;Davi B. Gusmão;Marcus V. C. Costa","1746-8094","A1"
"S-EMG Signal Compression in One-Dimensional and Two-Dimensional Approaches.","2018","IEEE Journal of Biomedical and Health Informatics","IEEE J. Biomed. Health Informatics","Marcel H. Trabuco;Marcus V. C. Costa;Bruno Macchiavello;Francisco Assis de Oliveira Nascimento","2168-2194","A1"
"Text-dependent User Verification of Handwritten Words and Signatures on Mobile Devices.","2016","The Computer Journal","Comput. J.","Nilson Donizete Guerin Júnior;Flavio de Barros Vidal;Bruno Macchiavello","N/A","N/A"
"Loss-Resilient Coding of Texture and Depth for Free-Viewpoint Video Conferencing.","2014","IEEE Transactions on Multimedia (TMM)","IEEE Trans. Multim.","Bruno Macchiavello;Camilo C. Dorea;Edson M. Hung;Gene Cheung;Wai-Tian Tan","1520-9210","A1"
