Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Annoyance models for videos with spatio-temporal artifacts.","2016","QoMEX","QoMEX","Conference","Alexandre F. Silva;Mylène C. Q. Farias;Judith A. Redi","-","N/A"
"A High Density Colored 2D-Barcode: CQR Code-9.","2016","SIBGRAPI","SIBGRAPI","Conference","Max E. Vizcarra Melgar;Mylène C. Q. Farias;Flavio de Barros Vidal;Alexandre Zaghetto","-","N/A"
"Image restoration for Through-The-Earth Communications.","2016","WCNC Workshops","WCNC Workshops","Conference","Savio Oliveira de Almeida Neves;Lucas Sousa e Silva;Mylène C. Q. Farias;André Noll Barreto","-","N/A"
"Image restoration for through-the-earth communications.","2016","WCNC","WCNC","Conference","Savio Oliveira de Almeida Neves;Lucas Sousa e Silva;Mylène C. Q. Farias;André Noll Barreto","-","N/A"
"A no-reference stereoscopic quality metric.","2015","Three-Dimensional Image Processing, Measurement (3DIPM), and Applications","Three-Dimensional Image Processing, Measurement (3DIPM), and Applications","Conference","Alessandro Rodrigues e Silva;Max E. Vizcarra Melgar;Mylène C. Q. Farias","-","N/A"
"Multi-objective differential evolution algorithm for underwater image restoration.","2015","CEC","CEC","Conference","Camilo Sánchez-Ferreira;Helon V. H. Ayala;Leandro dos Santos Coelho;Daniel M. Muñoz;Mylène C. Q. Farias;Carlos H. Llanos","-","N/A"
"Experimental results for a proposal of adaptative mechanism based on SNRs variation in infrastructured wireless networks.","2015","ConTEL","ConTEL","Conference","Kerlla S. Luz;Priscila Solís;Mylène C. Q. Farias;Henrique Domingues Garcia","-","N/A"
"An evaluation of the effect of JPEG, JPEG2000, and H.264/AVC on CQR codes decoding process.","2015","Digital Photography","Digital Photography","Conference","Max E. Vizcarra Melgar;Mylène C. Q. Farias;Alexandre Zaghetto","-","N/A"
"Assessing the influence of combinations of blockiness, blurriness, and packet loss impairments on visual attention deployment.","2015","Human Vision and Electronic Imaging","Human Vision and Electronic Imaging","Conference","Alexandre F. Silva;Mylène C. Q. Farias;Judith A. Redi","-","N/A"
"Improved performance of inverse halftoning algorithms via coupled dictionaries.","2015","ICME","ICME","Conference","Pedro Garcia Freitas;Mylène C. Q. Farias;Aletéia Patrícia Favacho de Araújo","-","N/A"
"Video quality ruler: A new experimental methodology for assessing video quality.","2015","QoMEX","QoMEX","Conference","Pedro Garcia Freitas;Judith A. Redi;Mylène C. Q. Farias;Alexandre F. Silva","-","N/A"
"Embedding Color Watermarks Into Halftoning Images Using Minimum-Distance Binary Patterns.","2015","SIBGRAPI","SIBGRAPI","Conference","Pedro Garcia Freitas;Mylène C. Q. Farias;Aletéia Patrícia Favacho de Araújo","-","N/A"
"Video quality assessment using visual attention computational models.","2014","J. Electronic Imaging","J. Electronic Imaging","Journal","Welington Y. L. Akamine;Mylène C. Q. Farias","1017-9909","A4"
"Full-reference audio-visual video quality metric.","2014","J. Electronic Imaging","J. Electronic Imaging","Journal","Helard Becerra Martinez;Mylène C. Q. Farias","1017-9909","A4"
"Per-Pixel Mirror-Based Acquisition Method for video compressive sensing.","2014","EUSIPCO","EUSIPCO","Conference","Jonathan A. Lima;Cristiano Jacques Miosso;Mylène C. Q. Farias","-","N/A"
"A no-reference audio-visual video quality metric.","2014","EUSIPCO","EUSIPCO","Conference","Helard Becerra Martinez;Mylène C. Q. Farias","-","N/A"
"Incorporating visual attention models into video quality metrics.","2014","IQSP","IQSP","Conference","Welington Y. L. Akamine;Mylène C. Q. Farias","-","N/A"
"An objective model for audio-visual quality.","2014","IQSP","IQSP","Conference","Helard Becerra Martinez;Mylène C. Q. Farias","-","N/A"
"A Parallel Framework for Video Super-Resolution.","2014","SIBGRAPI","SIBGRAPI","Conference","Pedro Garcia Freitas;Mylène C. Q. Farias;Aletéia Patrícia Favacho de Araújo","-","N/A"
"Tampering Detection of Audio-Visual Content Using Encrypted Watermarks.","2014","SIBGRAPI","SIBGRAPI","Conference","Ronaldo Rigoni;Pedro Garcia Freitas;Mylène C. Q. Farias","-","N/A"
"On the impact of packet-loss impairments on visual attention mechanisms.","2013","ISCAS","ISCAS","Conference","Judith Redi;Ingrid Heynderickx;Bruno Macchiavello;Mylène C. Q. Farias","-","N/A"
"A fire management intelligent system for the Brazilian cerrado biome based on a deep learning two phase detection method.","2025","Journal on Reliable Intelligent Environments","J. Reliab. Intell. Environ.","Journal","Natalia O. Borges;Lívia G. C. Fonseca;Priscila Solís Barreto;Eduardo Alchieri;Marcos Fagundes Caetano;Paulo Angelo A. Resende;Leonardo Brandão;Lucas Vieira","2199-4676","A3"
"Age of information optimization in cyber-physical systems with stateful packet management techniques.","2024","Ad Hoc Networks","Ad Hoc Networks","Journal","Paulo César Prandel;Priscila Solís Barreto","1570-8705","A1"
"Forest fire monitoring system supported by unmanned aerial vehicles and edge computing: a performance evaluation using petri nets.","2024","Cluster Computing","Clust. Comput.","Journal","Arthur Sabino;Luiz Nelson Lima;Carlos Brito 0001;Leonel Feitosa;Marcos F. Caetano;Priscila Solís Barreto;Francisco Airton Silva","1386-7857","A2"
"5G-RCOLAB: A system level simulator for 5G and beyond in rural areas.","2023","Computer Communications","Comput. Commun.","Journal","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Marcos F. Caetano;Eduardo Alchieri;Daniel Costa Araújo 0001;Francisco Rodrigo P. Cavalcanti;Diego Aguiar Sousa","0140-3664","A2"
"5G Virtual Function Infrastructure Management in Adverse Scenarios Using LPWA.","2023","International Conference on Advanced Information Networking and Applications (AINA)","AINA","Conference","Rafael Amaral Soares;Priscila Solís Barreto;Marcos F. Caetano","-","A3"
"SEMFOGO: An Intelligent Fire Detection System for the Cerrado Biome.","2023","Latin American Computing Conference (CLEI)","CLEI","Conference","Natalia O. Borges;Lívia G. C. Fonseca;Priscila Solís Barreto;Eduardo A. P. Alchieri;Marcos F. Caetano;Daniel C. Araujo 0001;Paulo Angelo A. Resende;Leonardo Brandão;Lucas Vieira","-","B3"
"Implementação de Estratégias de Handover em um Ambiente de Simulação para Open RAN.","2023","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Eduardo A. P. Alchieri;Paulo H. P. Carvalho","-","N/A"
"Preempção Condicional de Pacotes baseada na Vida Média Residual para Otimização da Age of Information em Sistemas Ciberfísicos.","2022","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Paulo César Prandel;Priscila Solís Barreto","-","N/A"
"A Risk Perception Indicator to Evaluate the Migration of Government Legacy Systems to the Cloud.","2021","International Journal of Information Systems in the Service Sector (IJISSS)","Int. J. Inf. Syst. Serv. Sect.","Journal","Breno G. S. Costa;Priscila Solís Barreto","-","N/A"
"Analysis of VNF Control Traffic in 5G Scenarios extended with LPWA Networks.","2021","IEEE Latin-American Conference on Communications (LATINCOM)","LATINCOM","Conference","Éden Medeiros;Priscila Solís Barreto","-","B1"
"Computational Modeling of Age of Information for Cyber-physical Systems.","2021","IEEE Latin-American Conference on Communications (LATINCOM)","LATINCOM","Conference","Paulo César Prandel;Priscila Solís Barreto","-","B1"
"Enhanced Remote Areas Communications: The Missing Scenario for 5G and Beyond 5G Networks.","2020","IEEE Access","IEEE Access","Journal","Luciano Leonel Mendes;Carlos Sallé Moreno;Maria Valéria Marquezini;André Mendes Cavalcante;Peter Neuhaus;Jorge Seki;Nathália Figueiredo Tinoco Aniceto;Heikki Karvonen;Iván Vidal;Francisco Valera;Priscila América Solís Mendez Barreto;Marcos Fagundes Caetano;Wheberth Damascena Dias;Gerhard P. Fettweis","2169-3536","A3"
"A Framework for Performance Evaluation of Network Function Virtualisation in 5G Networks.","2020","Latin American Computing Conference (CLEI)","CLEI","Conference","Cristoffer Leite;Priscila Solís Barreto;Marcos F. Caetano;Rafael Amaral Soares","-","B3"
"MHM: A Novel Collaborative Spectrum Sensing Method based on Markov-chains and Harmonic Mean for 5G Networks.","2020","IFIP Networking Conference","Networking","Conference","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Geraldo P. Rocha Filho;Marcos F. Caetano;Heikki Karvonen;Johanna Vartiainen","-","A3"
"Uso de Cadeias de Markov para Otimizar o Sensoriamento Colaborativo do Espectro em Redes 5G.","2020","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Gabriel de Carvalho Ferreira;Priscila América Solís Mendez Barreto;Marcos Fagundes Caetano;Geraldo Pereira Rocha Filho;Johanna Vartiainen;Heikki Karvonen","-","N/A"
"COLAB-5: Um Modulo para Simulação de Redes 5G.","2020","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC Companion","Conference","Gabriel de Carvalho Ferreira;Luís Alberto Belém Pacheco;Priscila Solís Barreto;Marcos Fagundes Caetano;Eduardo Adílio Pelinson Alchieri;Francisco Rodrigo Porto Cavalcanti;Diego Aguiar Sousa","-","N/A"
"Paralelismo em Buscas Criptografadas Verificáveis.","2020","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Luís Alberto Belém Pacheco;Eduardo Adílio Pelinson Alchieri;Priscila América Solís Mendez Barreto","-","N/A"
"EROS-5: Gerador de Tráfego Sintético para Redes 5G.","2020","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC Companion","Conference","Rafael Amaral Soares;Gabriel de Carvalho Ferreira;Priscila América Solís Mendez Barreto;Marcos Fagundes Caetano","-","N/A"
"Building secure protocols for extensible distributed coordination through secure extensions.","2019","Computers &#38; Security","Comput. Secur.","Journal","Edson Floriano;Eduardo Alchieri;Diego F. Aranha;Priscila Solís Barreto","0167-4048","A1"
"Transparent State Machine Replication for Kubernetes.","2019","International Conference on Advanced Information Networking and Applications (AINA)","AINA","Conference","Felipe Borges;Luís Pacheco 0001;Eduardo Alchieri;Marcos F. Caetano;Priscila Solís","-","A3"
"Reducing the IEEE 802.11 Beacon Overhead in Low Mobility Networks.","2019","International Conference on Advanced Information Networking and Applications (AINA)","AINA","Conference","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Eduardo Alchieri","-","A3"
"Pentest on Internet of Things Devices.","2019","Latin American Computing Conference (CLEI)","CLEI","Conference","Cristoffer Leite;João J. C. Gondim;Priscila Solís Barreto;Marcos F. Caetano;Eduardo Adílio Pelinson Alchieri","-","B3"
"Performance Analysis of Data Storage in a Hyperconverged Infrastructure Using Docker and GlusterFS.","2019","Latin American Computing Conference (CLEI)","CLEI","Conference","Rodrigo Leite;Priscila Solís","-","B3"
"A Framework for Improving Cold Start Time in Function-as-a-service (FaaS).","2019","Latin American Computing Conference (CLEI)","CLEI","Conference","Rogério Dias Moreira;Priscila Solís Barreto","-","B3"
"A Backup-as-a-Service (BaaS) Software Solution.","2019","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Heitor Faria;Priscila Solís;Jacir Luiz Bordim;Rodrigo Hagstrom","-","A3"
"Performance Analysis of an Hyperconverged Infrastructure using Docker Containers and GlusterFS.","2019","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Rodrigo Leite;Priscila Solís;Eduardo Alchieri","-","A3"
"A Recurrent Neural Network MAC Protocol Towards to Opportunistic Communication in Wireless Networks.","2019","International Symposium on Wireless Communication Systems (ISWCS)","ISWCS","Conference","Marcos F. Caetano;Mariana R. Makiuchi;Silas S. Fernandes;Marcus V. Lamar;Jacir Luiz Bordim;Priscila Solís Barreto","-","A3"
"A Tool for Developing Collaborative Sensing and Cognitive MAC Layer Solutions for 5G in Rural Areas.","2019","International Symposium on Wireless Communication Systems (ISWCS)","ISWCS","Conference","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Marcos F. Caetano;Eduardo Alchieri;Johanna Vartiainen;Heikki Karvonen;Marja Matinmikko-Blue;Jorge Seki","-","A3"
"Waste Flooding: A Phishing Retaliation Tool.","2019","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Cristoffer Leite;João J. C. Gondim;Priscila Solís Barreto;Eduardo Adílio Pelinson Alchieri","-","A4"
"COLAB: Módulo LTE de Sensoriamento Colaborativo e Radio Cognitivo para o Simulador de Redes ns-3.","2019","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC Companion","Conference","Gabriel de Carvalho Ferreira;Priscila Solís;Marcos F. Caetano;Marcus V. Lamar;Eduardo A. P. Alchieri;Johanna Vartiainen;Heikki Karvonen","-","N/A"
"Device-Based Security to Improve User Privacy in the Internet of Things †.","2018","Sensors","Sensors","Journal","Luís Alberto Belém Pacheco;Eduardo Adílio Pelinson Alchieri;Priscila América Solís Mendez Barreto","-","N/A"
"Performance and Cost Analysis Between On-Demand and Preemptive Virtual Machines.","2018","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Breno G. S. Costa;Marco Antonio Sousa Reis;Aletéia P. F. Araújo;Priscila Solís","-","A3"
"Risk Perception of Migrating Legacy Systems to the Cloud.","2018","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Breno G. S. Costa;Priscila Solís","-","A3"
"A Hadoop Open Source Backup Solution.","2018","International Conference on Cloud Computing and Services Science (CLOSER)","CLOSER","Conference","Heitor Faria;Rodrigo Hagstrom;Marco Antonio Sousa Reis;Breno G. S. Costa;Edward de Oliveira Ribeiro;Maristela Holanda;Priscila Solís Barreto;Aletéia P. F. Araújo","-","A3"
"Security and Privacy in Extensible Distributed Coordination.","2018","International Symposium on Computers and Communications (ISCC)","ISCC","Conference","Edson Floriano;Eduardo Alchieri;Diego F. Aranha;Priscila Solís","-","A2"
"Ajuste Dinâmico do Tráfego de Gerenciamento em Redes 802.11 Infraestruturadas com Baixa Mobilidade.","2018","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Gabriel de Carvalho Ferreira;Priscila Solís Barreto;Eduardo Alchieri","-","N/A"
"Provendo Segurança e Privacidade em Coordenação Distribuída e Extensível.","2018","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Edson Floriano;Eduardo Alchieri;Diego F. Aranha;Priscila Solís","-","N/A"
"Providing privacy on the tuple space model.","2017","Journal of Internet Services and Applications","J. Internet Serv. Appl.","Journal","Edson Floriano;Eduardo Alchieri;Diego F. Aranha;Priscila Solís","1867-4828","A2"
"Architecture for Privacy in Cloud of Things.","2017","International Conference on Enterprise Information Systems (ICEIS)","ICEIS","Conference","Luís Pacheco 0001;Eduardo Alchieri;Priscila Solís","-","A3"
"PAS-CA: A cloud computing auto-scalability method for high-demand web systems.","2017","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Marcelo Cerqueira de Abranches;Priscila Solís;Eduardo Alchieri","-","A4"
"Enhancing and evaluating an architecture for privacy in the integration of Internet of Things and cloud computing.","2017","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Luís Alberto Belém Pacheco;Eduardo Alchieri;Priscila A. Solís Barreto","-","A4"
"Privacidade em Dados Armazenados em Memória Compartilhada através de Espaços de Tuplas.","2017","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Edson Floriano;Eduardo Alchieri;Diego F. Aranha;Priscila Solís","-","N/A"
"A mechanism of auto elasticity based on response times for cloud computer enviroments and autossimilar workload.","2016","Latin American Computing Conference (CLEI)","CLEI","Conference","Marcelo Cerqueira de Abranches;Priscila Solís","-","B3"
"An algorithm based on response time and traffic demands to scale containers on a Cloud Computing system.","2016","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Marcelo Cerqueira de Abranches;Priscila Solís","-","A4"
"Evaluation of Distributed Denial of Service threat in the Internet of Things.","2016","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Luís Alberto Belém Pacheco;João J. C. Gondim;Priscila A. Solís Barreto;Eduardo Alchieri","-","A4"
"Traffic Engineering based on Shortest Path routing algorithms for FTV (Free-Viewpoint Television) applications.","2016","IEEE International Symposium on Network Computing and Applications (NCA)","NCA","Conference","Priscila Solís;Henrique Domingues Garcia","-","A4"
"Experimental results for a proposal of adaptative mechanism based on SNRs variation in infrastructured wireless networks.","2015","International Conference on Telecommunications (ConTEL)","ConTEL","Conference","Kerlla S. Luz;Priscila Solís;Mylène C. Q. Farias;Henrique Domingues Garcia","-","A3"
"Evaluation of TSCH/IEEE 802.15.4e in a Domestic Network Environment.","2015","Internet of Things Summit (IoT360)","IoT 360","Conference","Luís Pacheco 0001;Tom Vermeulen;Sofie Pollin;Priscila Solís","-","N/A"
"REA-WSN: Intercluster routing algorithm for energy optimization in wireless sensor networks.","2015","IEEE Latin-American Conference on Communications (LATINCOM)","LATINCOM","Conference","Paula Lima;Jonathan A. Lima;Priscila Solís","-","B1"
"An online database for einkorn wheat to aid in gene discovery and functional genomics studies.","2023","Database - The Journal of Biological Databases and Curation","Database J. Biol. Databases Curation","Journal","Parva Kumar Sharma;Hanin Ibrahim Ahmed;Matthias Heuberger;Dal-Hoe Koo;Jesus Quiroz-Chavez;Laxman Adhikari;John Raupp;Stéphane Cauet;Nathalie Rodde;Charlotte Cravero;Caroline Callot;Inderjit Singh Yadav;Nagarajan Kathiresan;Naveenkumar Athiyannan;Ricardo H. Ramirez-Gonzalez;Cristobal Uauy;Thomas Wicker;Michael Abrouk;Yong Q. Gu;Jesse Poland;Simon G. Krattinger;Gerard R. Lazo;Vijay K. Tiwari","1758-0463","A1"
"Three-Stage Power Supply System Model for a Wearable IoT Device for COVID-19 Patients.","2023","IEEE Embedded Systems Letters","IEEE Embed. Syst. Lett.","Journal","Ricardo Álvarez-González;Edgar R. González-Campos;Nicolás Quiroz-Hernández;Alba Maribel Sánchez Gálvez","1943-0663","A2"
"Electrical Resilience for the End-User: Strategies Based on Power Electronics Converters.","2023","International Conference on Electrical Engineering, Computing Science and Automatic Control (CCE)","CCE","Conference","Juan González-Rivera;Victor M. Cárdenas;Ricardo Alvarez-Salas;Fernando Quiroz-Vázquez;Ana Rivera-Rivera","-","N/A"
"Wearable Internet of Things (IoT) Device Model Design Based on Low-Cost Healthcare Monitoring System for Current Covid-19 Disease.","2022","Science and Information Conference (SAI)","SAI","Conference","Ricardo Álvarez-González;Edgar R. González-Campos;Nicolás Quiroz-Hernández;Alba Maribel Sánchez Gálvez","-","N/A"
"Evaluation of a Backup-as-a-Service Environment for Disaster Recovery.","2019","International Symposium on Computers and Communications (ISCC)","ISCC","Conference","Júlio Mendonça;Ricardo Lima 0001;Ewerton Queiroz;Ermeson Carneiro de Andrade;Dong Seong Kim 0001","-","A2"
"System identification for T1D via artificial intelligence algorithms: Evolutionary or swarm.","2023","Biomedical Signal Processing and Control","Biomed. Signal Process. Control.","Journal","Claudia Patricia Flores-Gutiérrez;Griselda Quiroz-Compeán;Octavio I. Renteria-Vidales;Luis M. Torres-Treviño;Eduardo Ruiz-Velázquez;Ricardo Femat","1746-8094","A1"
"Artificial intelligence applied to analyzes during the pandemic: COVID-19 beds occupancy in the state of Rio Grande do Norte, Brazil.","2023","Frontiers in Artificial Intelligence","Frontiers Artif. Intell.","Journal","Tiago de Oliveira Barreto;Nícolas Vinícius Rodrigues Veras;Pablo Holanda Cardoso;Felipe Ricardo dos Santos Fernandes;Luiz Paulo de Souza Medeiros;Maria Valéria Bezerra;Filomena Marques Queiroz de Andrade;Chander de Oliveira Pinheiro;Ignacio Sánchez-Gendriz;Gleyson José Pinheiro Caldeira Silva;Leandro Farias Rodrigues;Antonio Higor Freire de Morais;João Paulo Queiroz dos Santos;Jailton Carlos Paiva;Íon Garcia Mascarenhas de Andrade;Ricardo Alexsandro de Medeiros Valentim","2192-6352","A3"
"Comparison between Digital Tone-Mapping Operators and a Focal-Plane Pixel-Parallel Circuit.","2020","Signal Processing: Image Communication","Signal Process. Image Commun.","Journal","Gustavo M. S. Nunes;Fernanda D. V. R. Oliveira;Mylène C. Q. Farias;José Gabriel Rodríguez Carneiro Gomes;Antonio Petraglia;Jorge Fernández-Berni;Ricardo Carmona-Galán;Ángel Rodríguez-Vázquez","0923-5965","A2"
"Digital dual test syphilis/HIV detection based on Fourier Descriptors of Cyclic Voltammetry curves.","2024","Computers in Biology and Medicine","Comput. Biol. Medicine","Journal","Ignacio Sánchez-Gendriz;Dionísio D. A. Carvalho;Leonardo J. Galvão-Lima;Ana Isabela L. Sales-Moioli;Talita K. de B. Pinto;Felipe Ricardo dos Santos Fernandes;Jorge Henriques;Thaisa S. Lima;Luiz Affonso Guedes;Agnaldo S. Cruz;Antonio Higor Freire de Morais;João Paulo Queiroz dos Santos;Ernano Arrais;Karilany Dantas Coutinho;Guilherme Medeiros Machado;Aliete Cunha-Oliveira;Catarina Alexandra dos Reis Vale Gomes;Ricardo Alexsandro de Medeiros Valentim","0010-4825","A2"
"Surveying Emerging Network Approaches for Military Command and Control Systems.","2024","ACM Computing Surveys","ACM Comput. Surv.","Journal","João Eduardo Costa Gomes;Ricardo Rodrigues Ehlert;Rodrigo Murillo Boesche;Vinicius Santosde Lima;Jorgito Matiuzzi Stocchero;Dante A. C. Barone;Juliano Araujo Wickboldt;Edison Pignaton de Freitas;Julio C. S. dos Anjos;Ricardo Queiroz de Araujo Fernandes","0360-0300","A1"
"DODFMiner: An automated tool for Named Entity Recognition from Official Gazettes.","2024","Neurocomputing","Neurocomputing","Journal","Gabriel M. C. Guimarães;Felipe X. B. da Silva;Andrei L. Queiroz;Ricardo M. Marcacini;Thiago de Paulo Faleiros;Vinicius R. P. Borges;Luís P. F. Garcia","-","N/A"
"Next-generation antivirus for JavaScript malware detection based on dynamic features.","2024","Knowledge and Information Systems (KAIS)","Knowl. Inf. Syst.","Journal","Sidney M. L. de Lima;Danilo Souza;Ricardo Pinheiro;Sthéfano Henrique Mendes Tavares Silva;Petrônio Lopes;Rafael Lima;Jemerson Oliveira;Thyago de Amorim Monteiro;Sérgio M. M. Fernandes;Edison de Queiroz Albuquerque;Washington Wagner Azevedo da Silva;Wellington P. dos Santos","0219-1377","A2"
"A Driver-Vehicle Model for ADS Scenario-Based Testing.","2024","IEEE Transactions on Intelligent Transportation Systems","IEEE Trans. Intell. Transp. Syst.","Journal","Rodrigo Queiroz;Divit Sharma;Ricardo Caldas;Krzysztof Czarnecki 0001;Sergio García 0002;Thorsten Berger;Patrizio Pelliccione","1524-9050","A1"
"Towards Living Software Architecture Diagrams.","2024","Computing Research Repository (CoRR)","CoRR","Journal","Filipe F. Correia;Ricardo Ferreira;Paulo G. G. Queiroz;Henrique Nunes;Matilde Barra;Duarte Figueiredo","-","N/A"
"Next-generation antivirus endowed with web-server Sandbox applied to audit fileless attack.","2023","Soft Computing","Soft Comput.","Journal","Sidney M. L. Lima;Sthéfano Henrique Mendes Tavares Silva;Ricardo Paranhos;Danilo Souza;Petrônio Lopes;Rafael Lima;Jemerson Oliveira;Thyago de Amorim Monteiro;Sérgio M. M. Fernandes;Edison de Queiroz Albuquerque;Washington Wagner Azevedo da Silva;Wellington P. dos Santos","1433-7479","A1"
"CBERS-4A, WPM Fused Imagery Dataset.","2023","Brazilian Symposium on GeoInformatics (GEOINFO)","GEOINFO","Conference","Emiliano Ferreira Castejon;Lúbia Vinhas;Anderson R. Barbosa;Gilberto Ribeiro de Queiroz;Diego Gomes;Raphael W. Costa;Jeferson S. Arcanjo;Wildson Queiroz;Ricardo M. C. Souza;Julio C. L. Dalge;Jose T. M. Bacellar","-","B1"
"Measuring the Storing Capacity of Hyperdimensional Binary Vectors.","2022","Computaci&#243;n y Sistemas (CyS)","Computación y Sistemas","Journal","Job Isaias Quiroz Mercado;Ricardo Barrón Fernández;Marco Antonio Ramírez Salinas","-","N/A"
"A Driver-Vehicle Model for ADS Scenario-based Testing.","2022","Computing Research Repository (CoRR)","CoRR","Journal","Rodrigo Queiroz;Divit Sharma;Ricardo Caldas;Krzysztof Czarnecki 0001;Sergio García 0002;Thorsten Berger;Patrizio Pelliccione","-","N/A"
"Next generation antivirus endowed with bitwise morphological extreme learning machines.","2021","Microprocessors and Microsystems","Microprocess. Microsystems","Journal","Sidney M. L. Lima;Danilo Souza;Ricardo Paranhos;Sthéfano Henrique Mendes Tavares Silva;Petrônio Lopes;Rafael Lima;Jemerson Oliveira;Thyago de Amorim Monteiro;Sérgio M. M. Fernandes;Edison de Queiroz Albuquerque;Washington Wagner Azevedo da Silva;Wellington P. dos Santos","0141-9331","C"
"Semantic Similarity Estimation Using Vector Symbolic Architectures.","2020","IEEE Access","IEEE Access","Journal","Job Isaias Quiroz Mercado;Ricardo Barrón Fernández;Marco Antonio Ramírez Salinas","2169-3536","A3"
"Earth Observation Data Cubes for Brazil: Requirements, Methodology and Products.","2020","Remote Sensing","Remote. Sens.","Journal","Karine Reis Ferreira;Gilberto Ribeiro de Queiroz;Lúbia Vinhas;Rennan F. B. Marujo;Rolf Ezequiel O. Simões;Michelle Cristina Araújo Picoli;Gilberto Câmara;Ricardo Cartaxo;Vitor Conrado Faria Gomes;Lorena A. Santos;Alber H. Sánchez;Jeferson S. Arcanjo;José Guilherme Fronza;Carlos Alberto Noronha;Raphael W. Costa;Matheus Cavassan Zaglia;Fabiana Zioti;Thales Sehn Körting;Anderson Reis Soares;Michel E. D. Chaves;Leila M. G. Fonseca","2072-4292","A1"
"Voltage Grid Supporting by Using Variable Structure Adaptive Virtual Impedance for LCL-Voltage Source Converter DG Converters.","2020","IEEE Transactions on Industrial Electronics","IEEE Trans. Ind. Electron.","Journal","Thales Queiroz Fonsêca;Ricardo Lúcio de Araujo Ribeiro;Thiago de Oliveira Alves Rocha;Flávio B. Costa 0001;Josep M. Guerrero","0278-0046","A1"
"Exploring Storing Capacity of Hyperdimensional Binary Vectors.","2019","Research in Computing Science","Res. Comput. Sci.","Journal","Job Isaias Quiroz Mercado;Ricardo Barrón Fernández;Marco Antonio Ramírez Salinas","1870-4069","C"
"Next Generation Antivirus Applied to Jar Malware Detection based on Runtime Behaviors using Neural Networks.","2019","International Conference on Computer Supported Cooperative Work in Design (CSCWD)","CSCWD","Conference","Ricardo Pinheiro;Sidney M. L. Lima;Sérgio Fernandes 0001;Edison de Queiroz Albuquerque;Sergio Medeiros;Danilo Souza;Thyago Monteiro;Petrônio Lopes;Rafael Lima;Jemerson Oliveira;Sthéfano Henrique Mendes Tavares Silva","-","A3"
"Sequence Prediction with Hyperdimensional Computing.","2017","Research in Computing Science","Res. Comput. Sci.","Journal","Job Isaias Quiroz Mercado;Ricardo Barrón Fernández;Marco Antonio Ramírez Salinas","1870-4069","C"
"A Time-Weighted Dynamic Time Warping Method for Land-Use and Land-Cover Mapping.","2016","IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing","IEEE J. Sel. Top. Appl. Earth Obs. Remote. Sens.","Journal","Victor Maus;Gilberto Câmara;Ricardo Cartaxo;Alber H. Sánchez;Fernando Manuel Ramos;Gilberto Ribeiro de Queiroz","1939-1404","A1"
"Towards a taxonomy for security threats on the web ecosystem.","2016","IEEE/IFIP Network Operations and Management Symposium (NOMS)","NOMS","Conference","Carlo Marcelo Revoredo da Silva;Ricardo Batista Rodrigues;Ruy J. G. B. de Queiroz;Vinicius C. Garcia;José Silva;Daniel Gatti;Rodrigo Elia Assad;Leandro M. do Nascimento;Kellyton Brito;Péricles B. C. Miranda","-","A2"
"A meta-analysis for security threats over the Web ecosystem.","2016","IEEE/IFIP Network Operations and Management Symposium (NOMS)","NOMS","Conference","Carlo Marcelo Revoredo da Silva;Ricardo Batista Rodrigues;Ruy J. G. B. de Queiroz;Vinicius C. Garcia;José Silva;Daniel Gatti;Leandro M. do Nascimento;Kellyton Brito;Rodrigo Elia Assad","-","A2"
"Sign processes in emergence of communication.","2013","Annual Meeting of the Cognitive Science Society (CogSci)","CogSci","Conference","Angelo C. Loula;Ricardo R. Gudwin;João Queiroz","-","A2"
