Titulo,Ano,Venue,VenueShort,Type,Authors,ISSN,Qualis
"Excalibur: an autonomic cloud architecture for executing parallel applications.","2014","European Conference on Computer Systems (EuroSys)","CloudDP@EuroSys","Conference","Alessandro Ferreira Leite;Tainá Raiol;Claude Tadonki;Maria Emília M. T. Walter;Christine Eisenbeis;Alba Cristina Magalhaes Alves de Melo","-","A1"
"A Fine-grained Approach for Power Consumption Analysis and Prediction.","2014","International Conference on Computational Science (ICCS)","ICCS","Conference","Alessandro Ferreira Leite;Claude Tadonki;Christine Eisenbeis;Alba de Melo","-","A4"
"HiCOMB Introduction and Committees.","2014","IEEE International Parallel and Distributed Processing Symposium (IPDPS)","IPDPS Workshops","Conference","Alba Cristina Magalhaes Alves de Melo;Srinivas Aluru;David A. Bader","-","A1"
"Parallel Smith-Waterman Comparison on Multicore and Manycore Computing Platforms with BSP++.","2013","International Journal of Parallel Programming","Int. J. Parallel Program.","Journal","Khaled Hamidouche;Fernando Machado Mendonca;Joel Falcou;Alba Cristina Magalhaes Alves de Melo;Daniel Etiemble","0885-7458","A4"
"Biological Sequence Comparison on Hybrid Platforms with Dynamic Workload Adjustment.","2013","IEEE International Parallel and Distributed Processing Symposium (IPDPS)","IPDPS Workshops","Conference","Fernando Machado Mendonca;Alba Cristina Magalhaes Alves de Melo","-","A1"
"MSA-GPU: Exact Multiple Sequence Alignment Using GPU.","2013","Brazilian Symposium on Bioinformatics (BSB)","BSB","Conference","Daniel Sundfeld;Alba Cristina Magalhaes Alves de Melo","-","B1"
"SWPTMAC: Sleep Wake-up Power Transfer MAC Protocol.","2024","IEEE/IFIP Network Operations and Management Symposium (NOMS)","NOMS","Conference","Luan Borges Dos Santos;Geraldo Pereira Rocha Filho;Lucas Bondan;Marcos Fagundes Caetano;Aletéia P. F. Araújo;Marcelo Antonio Marotta","-","A2"
"Anomaly Detection in Logs: A Comparative Analysis of Unsupervised Algorithms.","2024","Symposium on Languages, Applications and Technologies (SLATE)","SLATE","Conference","Alysson C. E. de Moura;Geraldo P. Rocha Filho;Marcos F. Caetano;João J. C. Gondim;Aleteia Araujo;Marcelo Antonio Marotta;Lucas Bondan","-","B3"
"Detecção de Falhas em um Aplicativo Móvel Bancário.","2023","Brazilian Symposium on Computer Networks and Distributed Systems (SBRC)","SBRC","Conference","Daniel Schulz;Marcelo Antonio Marotta;Lucas Bondan;Marcos F. Caetano;Geraldo P. Rocha Filho;Aletéia P. F. Araújo","-","N/A"
"Mundo Bit Byte - A digital mobile game to disseminate female personalities that made history in Computing.","2022","Journal on Interactive Systems (JIS)","J. Interact. Syst.","Journal","Aletéia P. F. Araújo;Ana Júlia Luziano Briceño;Ana Sofia S. Silvestre;Bianca P. Castro;Carla Denise Castanho;Carla Koike;Fernanda S. Marcilio;Hanani E. F. Soares;Maristela Holanda;Mauricio Miranda Sarmet;Roberta B. Oliveira;Tais A. Oliveira;Thamires P. Silva","2236-3297","B1"
"Optimized Solutions for Deploying a Militarized 4G/LTE Network With Maximum Coverage and Minimum Interference.","2022","IEEE Transactions on Network and Service Management","IEEE Trans. Netw. Serv. Manag.","Journal","Emerson de O. Antunes;Marcos F. Caetano;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Lucas Bondan;Rodolfo I. Meneguette;Geraldo P. Rocha Filho","1932-4537","A1"
"MAS-Cloud+: A novel multi-agent architecture with reasoning models for resource management in multiple providers.","2024","Future Generation Computer Systems","Future Gener. Comput. Syst.","Journal","Aldo H. D. Mendes;Michel J. F. Rosa;Marcelo Antonio Marotta;Aletéia P. F. Araújo;Alba C. M. A. Melo;Célia Ghedini Ralha","0167-739X","A1"
"Computational Resource Allocation in Fog Computing: A Comprehensive Survey.","2023","ACM Computing Surveys","ACM Comput. Surv.","Journal","João Bachiega Jr.;Breno G. S. Costa;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","0360-0300","A1"
"Monitoring fog computing: A review, taxonomy and open challenges.","2022","Computer Networks","Comput. Networks","Journal","Breno G. S. Costa;João Bachiega Jr.;Leonardo Rebouças de Carvalho;Michel J. F. Rosa;Aletéia P. F. Araújo","1389-1286","A1"
