"Title","Year","Venue","Venue Short","Authors","ISSN","Qualis CAPES"
"Cotton pests classification in field-based images using deep residual networks.","2020","Computers and Electronics in Agriculture","Comput. Electron. Agric.","Adão Nunes Alves;Witenberg Santiago Rodrigues Souza;Díbio Leandro Borges","0168-1699","A1"
"Understanding Data Breach from a Global Perspective: Incident Visualization and Data Protection Law Review.","2024","Data","Data","Gabriel Arquelau Pimenta Rodrigues;André Luiz Marques Serrano;Amanda Nunes Lopes Espiñeira Lemos;Edna Dias Canedo;Fábio Lúcio Lopes de Mendonça;Robson de Oliveira Albuquerque;Ana Lucila Sandoval Orozco;Luis Javier García-Villalba","2306-5729","C"
"How does parenthood affect an ICT practitioner's work? A survey study with fathers.","2024","Empirical Software Engineering","Empir. Softw. Eng.","Larissa Rocha 0001;Edna Dias Canedo;Claudia Pinto Pereira;Carla Ilane Moreira Bezerra;Fabiana Freitas Mendes","1382-3256","A1"
"Leveraging a startup-based approach for digital transformation in the public sector: A case study of Brazil's startup gov.br program.","2024","Government Information Quarterly","Gov. Inf. Q.","Elaine Venson;Rejane Maria da Costa Figueiredo;Edna Dias Canedo","0740-624X","A1"
"Towards User-Centric Guidelines for Chatbot Conversational Design.","2024","International Journal of Human-Computer Interaction","Int. J. Hum. Comput. Interact.","Geovana Ramos Sousa Silva;Edna Dias Canedo","1532-7590","A3"
"Towards a taxonomy of privacy requirements based on the LGPD and ISO/IEC 29100.","2024","Information &#38; Software Technology","Inf. Softw. Technol.","Sâmmara Éllen Renner Ferrão;Geovana Ramos Sousa Silva;Edna Dias Canedo;Fabiana Freitas Mendes","0950-5849","A1"
"Do you think there is no gender inequality in Software Engineering? Perhaps you should reconsider your opinion.","2024","Journal of Software Engineering Research and Development (JSERD)","J. Softw. Eng. Res. Dev.","Edna Dias Canedo;Larissa Soares 0001;Geovana Ramos Sousa Silva;Fabiana Freitas Mendes","2195-1721","B3"
"Digital Transformation of Public Services in a Startup-Based Environment: Job Perceptions, Relationships, Potentialities and Restrictions.","2024","The Journal of Universal Computer Science","J. Univers. Comput. Sci.","George Marsicano;Edna Dias Canedo;Glauco Vitor Pedrosa;Cristiane Soares Ramos;Rejane M. da C. Figueiredo","0948-6968","A3"
"Using Design Thinking to break social barriers: An experience report with former inmates.","2024","Journal of Software: Evolution and Process","J. Softw. Evol. Process.","Edna Dias Canedo;Emille Catarine Rodrigues Cançado;Alana Paula Barbosa Mota;Ian Nery Bandeira;Pedro Henrique Teixeira Costa;Fernanda Lima;Luis Henrique Vieira Amaral;Rodrigo Bonifácio","2047-7481","A4"
"Business Process Modeling Supporting the Requirements Elicitation of an Audit System: An Experience Report.","2023","International Journal of Electronic Government Research (IJEGR)","Int. J. Electron. Gov. Res.","Edna Dias Canedo;Ian Nery Bandeira;Larissa Pereira Gonçalves;Alessandra de Vasconcelos Sales;Fábio L. L. Mendonça;Cláudio Azevedo Costa;Rafael T. de Sousa Jr.","1548-3886","A3"
"Use of Journey Maps and Personas in Software Requirements Elicitation.","2023","International Journal of Software Engineering and Knowledge Engineering (IJSEKE)","Int. J. Softw. Eng. Knowl. Eng.","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Geovana Ramos Sousa Silva;Pedro Henrique Teixeira Costa;Eloisa Toffano Seidel Masson","2289-2842","B4"
"An Investigation of confusing code patterns in JavaScript.","2023","Journal of Systems and Software (JSS)","J. Syst. Softw.","Adriano Torres;Caio Oliveira;Márcio Vinicius Okimoto;Diego Marcilio;Pedro Queiroga;Fernando Castor;Rodrigo Bonifácio;Edna Dias Canedo;Márcio Ribeiro 0001;Eduardo Monteiro","0164-1212","A2"
"A Modeling Strategy for the Verification of Context-Oriented Chatbot Conversational Flows via Model Checking.","2023","The Journal of Universal Computer Science","J. Univers. Comput. Sci.","Geovana Ramos Sousa Silva;Genaína Nunes Rodrigues;Edna Dias Canedo","0948-6968","A3"
"Privacy requirements elicitation: a systematic literature review and perception analysis of IT practitioners.","2023","Requirements Engineering","Requir. Eng.","Edna Dias Canedo;Ian Nery Bandeira;Angélica Toffano Seidel Calazans;Pedro Henrique Teixeira Costa;Emille Catarine Rodrigues Cançado;Rodrigo Bonifácio","N/A","N/A"
"Runtime Verification of Crypto APIs: An Empirical Study.","2023","IEEE Transactions on Software Engineering (TSE)","IEEE Trans. Software Eng.","Adriano Torres;Pedro Henrique Teixeira Costa;Luis Henrique Vieira Amaral;Jonata Pastro;Rodrigo Bonifácio;Marcelo d'Amorim;Owolabi Legunsen;Eric Bodden;Edna Dias Canedo","0098-5589","A1"
"Towards User-Centric Guidelines for Chatbot Conversational Design.","2023","Computing Research Repository (CoRR)","CoRR","Geovana Ramos Sousa Silva;Edna Dias Canedo","N/A","N/A"
"Investigating the Perceived Impact of Maternity on Software Engineering: a Women's Perspective.","2023","Computing Research Repository (CoRR)","CoRR","Larissa Soares 0001;Edna Dias Canedo;Claudia Pinto Pereira;Carla I. M. Bezerra;Fabiana Freitas Mendes","N/A","N/A"
"Creativity and Design Thinking as Facilitators in Requirements Elicitation.","2022","International Journal of Software Engineering and Knowledge Engineering (IJSEKE)","Int. J. Softw. Eng. Knowl. Eng.","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Geovana Ramos Sousa Silva;Pedro Henrique Teixeira Costa;Rodrigo Pereira de Mesquita;Eloisa Toffano Seidel Masson","2289-2842","B4"
"ICT Governance and Management Macroprocesses of a Brazilian Federal Government Agency.","2022","Information","Inf.","Edna Dias Canedo;Ana Paula Morais do Vale;Rogério Machado Gravina;Alessandra de Vasconcelos Sales;Bruno J. G. Praciano;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael Timóteo de Sousa Júnior","2078-2489","B1"
"Guidelines adopted by agile teams in privacy requirements elicitation after the Brazilian general data protection law (LGPD) implementation.","2022","Requirements Engineering","Requir. Eng.","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Ian Nery Bandeira;Pedro Henrique Teixeira Costa;Eloisa Toffano Seidel Masson","N/A","N/A"
"People management: modelling the work of an ICT team in a coordination and governance organisation of state-owned enterprises.","2021","International Journal of Business Process Integration and Management (IJBPIM)","Int. J. Bus. Process. Integr. Manag.","Edna Dias Canedo;Pedro Thiago Rocha de Alcântara;Leomar Camargo de Souza;Luis Henrique Vieira Amaral;Rafael Timóteo de Sousa Júnior;Georges Daniel Amvame Nze","1741-8763","B1"
"Diagnostic of Data Processing by Brazilian Organizations - A Low Compliance Issue.","2021","Information","Inf.","Sâmmara Éllen Renner Ferrão;Artur Potiguara Carvalho;Edna Dias Canedo;Alana Paula Barbosa Mota;Pedro Henrique Teixeira Costa;Anderson Jefferson Cerqueira","2078-2489","B1"
"Tool for Measuring Productivity in Software Development Teams.","2021","Information","Inf.","Jhemeson Silva Mota;Heloise Acco Tives Leão;Edna Dias Canedo","2078-2489","B1"
"A Digital Signature Model Using XAdES Standard as a Rest Service.","2021","Information","Inf.","Renato Carauta Ribeiro;Murilo Góes de Almeida;Edna Dias Canedo","2078-2489","B1"
"Towards to Transfer the Directives of Communicability to Software Projects: Qualitative Studies.","2021","Journal of Software Engineering Research and Development (JSERD)","J. Softw. Eng. Res. Dev.","Adriana Lopes Damian;Edna Dias Canedo;Clarisse Sieckenius de Souza;Tayana Conte","2195-1721","B3"
"Validation of Architecture Effectiveness for the Continuous Monitoring of File Integrity Stored in the Cloud Using Blockchain and Smart Contracts.","2021","Sensors","Sensors","Alexandre Pinheiro;Edna Dias Canedo;Robson de Oliveira Albuquerque;Rafael Timóteo de Sousa Júnior","2079-6374","A3"
"Monitoring File Integrity Using Blockchain and Smart Contracts.","2020","IEEE Access","IEEE Access","Alexandre Pinheiro;Edna Dias Canedo;Rafael Timóteo de Sousa Júnior;Robson de Oliveira Albuquerque","2169-3536","A1"
"Perceptions of ICT Practitioners Regarding Software Privacy.","2020","Entropy","Entropy","Edna Dias Canedo;Angélica Toffano Seidel Calazans;Eloisa Toffano Seidel Masson;Pedro Henrique Teixeira Costa;Fernanda Lima","2526-2793","B3"
"Software Requirements Classification Using Machine Learning Algorithms.","2020","Entropy","Entropy","Edna Dias Canedo;Bruno Cordeiro Mendes","2526-2793","B3"
"Information and Communication Technology (ICT) Governance Processes: A Case Study.","2020","Information","Inf.","Edna Dias Canedo;Ana Paula Morais do Vale;Rafael Leite Patrão;Leomar Camargo de Souza;Rogério Machado Gravina;Vinicius Eloy dos Reis;Fábio Lúcio Lopes de Mendonça;Rafael T. de Sousa Jr.","2078-2489","B1"
"Design sprint in classroom: exploring new active learning tools for project-based learning approach.","2020","Journal of Ambient Intelligence and Humanized Computing","J. Ambient Intell. Humaniz. Comput.","Vinícius Gomes Ferreira;Edna Dias Canedo","1868-5137","A3"
"Understanding the Impact of Introducing Lambda Expressions in Java Programs.","2020","Journal of Software Engineering Research and Development (JSERD)","J. Softw. Eng. Res. Dev.","Walter Lucas Monteiro de Mendonça;José Fortes;Francisco Vitor Lopes;Diego Marcilio;Rodrigo Bonifácio;Edna Dias Canedo;Fernanda Lima;João Saraiva","2195-1721","B3"
"A fire management intelligent system for the Brazilian cerrado biome based on a deep learning two phase detection method.","2025","Journal on Reliable Intelligent Environments","J. Reliab. Intell. Environ.","Natalia O. Borges;Lívia G. C. Fonseca;Priscila Solís Barreto;Eduardo Alchieri;Marcos Fagundes Caetano;Paulo Angelo A. Resende;Leonardo Brandão;Lucas Vieira","N/A","N/A"
"Privacy-Preserving Smart Contracts for Permissioned Blockchains: A zk-SNARK-Based Recipe Part-1.","2025","Computing Research Repository (CoRR)","CoRR","Aldenio Burgos;Eduardo Alchieri","N/A","N/A"
"Reducing Persistence Overhead in Parallel State Machine Replication through Time-Phased Partitioned Checkpoint.","2024","Journal of Internet Services and Applications","J. Internet Serv. Appl.","Everaldo Gomes Junior;Eduardo Alchieri;Fernando Luís Dotti;Odorico Machado Mendizabal","1867-4828","A2"
